casualty_severity,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,obs_date,light_conditions,weather_conditions,urban_or_rural_area,road_surface_conditions,special_conditions_at_site,age_of_driver,sex_of_driver,vehicle_type
Fatal,Female,39,36 - 45,Unknown or other,From drivers nearside,2023-09-20T06:44:00Z,Darkness - no lighting,Raining no high winds,Rural,Wet or damp,None,51,Male,11
Serious,Female,9,6 - 10,On pedestrian crossing facility,From offside masked by vehicle,2023-01-13T15:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Female,82,Over 75,Centre of carriageway without refuge,Walking facing traffic,2023-10-28T16:50:00Z,Daylight,Raining no high winds,Rural,Dry,None,53,Female,9
Fatal,Female,71,66 - 75,"In carriageway, crossing elsewhere",From drivers offside,2023-11-09T17:26:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,50,Male,5
Fatal,Female,52,46 - 55,"In carriageway, crossing elsewhere",From drivers offside,2023-05-01T21:17:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,77,Female,9
Slight,NA,27,26 - 35,Unknown or other,Unknown or other,2023-08-03T07:00:00Z,Daylight,Fine no high winds,Urban,Dry,NA,54,Female,9
Fatal,Male,12,11 - 15,On pedestrian crossing facility,From drivers offside,2023-03-13T15:34:00Z,Daylight,Fine no high winds,Urban,Dry,None,67,Male,20
Slight,Male,57,56 - 65,On refuge or similar,From drivers offside,2023-12-11T19:30:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,29,Male,9
Slight,Female,61,56 - 65,"In carriageway, crossing elsewhere",From drivers nearside,2023-01-04T17:10:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,62,Male,19
Slight,Female,30,26 - 35,Unknown or other,Unknown or other,2023-12-09T22:29:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,NA,25,Male,9
Serious,Male,18,16 - 20,"In carriageway, crossing elsewhere",From drivers nearside,2023-06-19T12:58:00Z,Daylight,Fine no high winds,Urban,Dry,None,29,Female,9
Slight,Male,51,46 - 55,On footway or verge,Unknown or other,2023-04-06T15:12:00Z,Daylight,Fine no high winds,Rural,Dry,None,-1,Not known,19
Fatal,Male,84,Over 75,On pedestrian crossing facility,From drivers offside,2023-12-19T17:56:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,Auto signal part defective,53,Male,19
Serious,Male,68,66 - 75,"In carriageway, crossing elsewhere",From drivers offside,2023-04-19T07:44:00Z,Daylight,Fine no high winds,Urban,Dry,None,38,Male,9
Fatal,Female,28,26 - 35,"In carriageway, not crossing",Unknown or other,2023-07-27T22:34:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,64,Female,20
